Autoridad Ambiental,Nombre de la estación,Latitud,Longitud,Ubicación,Departamento,Municipio,Tipo de Estación,Variable,Unidades,Tiempo Promedio,Promedio,Número de Excedencias,Representatividad Temporal,Porcentaje de excedencias,Mediana,Percentil 98,Máximo,Mínimo,Días con Excedencias
CORANTIOQUIA,Campaña Heliconia 2015,6.206389,-75.733333,"(6.206389, -75.733333)",ANTIOQUIA,HELICONIA,Indicativa,PM10,ugm3,24,37,0,7,0,37,57.8,67,25,0
CORANTIOQUIA,Campaña Montebello 2015,5.945,-75.525556,"(5.945, -75.525556)",ANTIOQUIA,MONTEBELLO,Indicativa,PM10,ugm3,24,18.9,0,8,0,19,28.2,30,9,0
CORANTIOQUIA,Campaña Pueblorrico 2015,5.791667,-75.840833,"(5.791667, -75.840833)",ANTIOQUIA,PUEBLORRICO,Indicativa,PM10,ugm3,24,21.8,0,7,0,21,33,35,12,0
CORANTIOQUIA,Campaña Puerto Nare 2015,6.227778,-74.57,"(6.227778, -74.57)",ANTIOQUIA,PUERTO NARE,Indicativa,PM10,ugm3,24,26,0,7,0,23,58.4,61,18,0
CORANTIOQUIA,Campaña San Andrés de Cuerquia 2015,6.914167,-75.672222,"(6.914167, -75.672222)",ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,Indicativa,PM10,ugm3,24,30.3,0,2,0,32,34.9,35,24,0
CORANTIOQUIA,Campaña Santa Fe de Antioquia 2015,6.560278,-75.828611,"(6.560278, -75.828611)",ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,Indicativa,PM10,ugm3,24,42.4,0,8,0,36,74.2,78,23,0
CORANTIOQUIA,Campaña Támesis 2015,5.662855,-75.712536,"(5.662855, -75.712536)",ANTIOQUIA,TÁMESIS,Indicativa,PM10,ugm3,24,26.5,0,6,0,27,34.6,37,20,0
CORANTIOQUIA,Campaña Valparaíso 2015,5.61635,-75.624486,"(5.61635, -75.624486)",ANTIOQUIA,VALPARAÍSO,Indicativa,PM10,ugm3,24,27.4,0,4,0,26,37.4,38,19,0
CORANTIOQUIA,Campaña Yondó 2015,7.0075,-73.908889,"(7.0075, -73.908889)",ANTIOQUIA,YONDÓ,Indicativa,PM10,ugm3,24,53.2,0,1,0,55,69.3,70,34,0
CORANTIOQUIA,Campaña Zaragoza 2015,7.491389,-74.868333,"(7.491389, -74.868333)",ANTIOQUIA,ZARAGOZA,Indicativa,PM10,ugm3,24,26.2,0,4,0,25,35.3,37,21,0
CORANTIOQUIA,Caucasia,7.992933,-75.198303,"(7.992933, -75.198303)",ANTIOQUIA,CAUCASIA,Fija,PM10,ugm3,24,29.1,0,48,0,28.5,49.5,59,12,0
CORANTIOQUIA,Envigado-IUE,6.159917,-75.581111,"(6.159917, -75.581111)",ANTIOQUIA,ENVIGADO,Fija,NO,ugm3,1,12,0,36,0,8.2,48.9,140,0.1,0
CORANTIOQUIA,Envigado-IUE,6.159917,-75.581111,"(6.159917, -75.581111)",ANTIOQUIA,ENVIGADO,Fija,NO2,ugm3,1,20.5,0,36,0,17.1,67.1,128.8,0,0
CORANTIOQUIA,Envigado-IUE,6.159917,-75.581111,"(6.159917, -75.581111)",ANTIOQUIA,ENVIGADO,Fija,NO2,ugm3,24,20.3,0,38,0,21,47.1,54,2.5,0
CORANTIOQUIA,Envigado-IUE,6.159917,-75.581111,"(6.159917, -75.581111)",ANTIOQUIA,ENVIGADO,Fija,O3,ugm3,1,36.2,150,50,3.43,25.1,135.6,246.8,0,58
CORANTIOQUIA,Envigado-IUE,6.159917,-75.581111,"(6.159917, -75.581111)",ANTIOQUIA,ENVIGADO,Fija,O3,ugm3,8,36.5,262,49,6.06,31.4,102.1,147.1,0.3,50
CORANTIOQUIA,Envigado-IUE,6.159917,-75.581111,"(6.159917, -75.581111)",ANTIOQUIA,ENVIGADO,Fija,PM2.5,ugm3,24,16.7,0,31,0,17,26.5,28,6,0
CORANTIOQUIA,Medellín-Altavista,6.222584,-75.628207,"(6.222584, -75.628207)",ANTIOQUIA,MEDELLÍN,Fija,PM10,ugm3,24,65.5,7,90,2.14,65,101,118,22,7
CORNARE,CORNARE,6.134167,-75.274581,"(6.134167, -75.274581)",ANTIOQUIA,SANTUARIO,Indicativa,PM10,ugm3,24,27.2,0,,0,27,38.7,41,13,0
CORNARE,Hospital Guarne,6.281944,-75.444722,"(6.281944, -75.444722)",ANTIOQUIA,GUARNE,Indicativa,PM10,ugm3,24,24.9,0,25,0,23,40,40,17,0
CORNARE,Rionegro-Imusa,6.18,-75.3675,"(6.18, -75.3675)",ANTIOQUIA,RIONEGRO,Indicativa,PM10,ugm3,24,30.2,0,24,0,28,48.9,50,16,0
CORNARE,UCO,6.149444,-75.366139,"(6.149444, -75.366139)",ANTIOQUIA,RIONEGRO,Indicativa,PM10,ugm3,24,20.3,0,25,0,17,37.4,38,11,0
CORPAMAG,Batallón,11.232561,-74.216608,"(11.232561, -74.216608)",MAGDALENA,SANTA MARTA,Fija,PST,ugm3,24,87.4,0,87,0,90.5,189.7,223,24,0
CORPAMAG,CAJAMAG,11.238926,-74.208911,"(11.238926, -74.208911)",MAGDALENA,SANTA MARTA,Fija,PST,ugm3,24,51.7,0,6,0,63,71.5,72,25,0
CORPAMAG,Centro Ejecutivo,11.239823,-74.211944,"(11.239823, -74.211944)",MAGDALENA,SANTA MARTA,Fija,PST,ugm3,24,84.4,0,94,0,86,168,196,19,0
CORPAMAG,Club Santa Marta,11.240446,-74.216389,"(11.240446, -74.216389)",MAGDALENA,SANTA MARTA,Fija,PM10,ugm3,24,44.8,3,79,3.12,40,107.3,132,5,3
CORPAMAG,Costa Verde,11.022095,-74.246364,"(11.022095, -74.246364)",Magdalena,Ciénaga,Fija,PM10,ugm3,24,44,2,74,2.22,44,101.8,120,10,2
CORPAMAG,Costa Verde,11.022095,-74.246364,"(11.022095, -74.246364)",Magdalena,Ciénaga,Fija,PST,ugm3,24,80.7,0,75,0,82,177.7,207,22,0
CORPAMAG,Don Jaca,11.098474,-74.218844,"(11.098474, -74.218844)",MAGDALENA,SANTA MARTA,Fija,PM10,ugm3,24,43.7,1,89,0.93,42.5,76,126,9,1
CORPAMAG,Don Jaca,11.098474,-74.218844,"(11.098474, -74.218844)",MAGDALENA,SANTA MARTA,Fija,PST,ugm3,24,87.8,0,83,0,92,190,194,25,0
CORPAMAG,INVEMAR,11.250804,-74.220514,"(11.250804, -74.220514)",MAGDALENA,SANTA MARTA,Fija,PST,ugm3,24,139,0,56,0,150.5,240.3,247,32,0
CORPAMAG,Molinos Santa Marta,11.19459,-74.193361,"(11.19459, -74.193361)",MAGDALENA,SANTA MARTA,Fija,PM10,ugm3,24,56.5,9,89,8.26,53,142.3,171,14,9
CORPAMAG,Zuana,11.140901,-74.226548,"(11.140901, -74.226548)",MAGDALENA,SANTA MARTA,Fija,PM10,ugm3,24,30.4,0,34,0,23,94.8,98,13,0
CORPOBOYACA,El Recreo,5.726544,-72.920647,"(5.726544, -72.920647)",BOYACÁ,SOGAMOSO,Fija,PM10,ugm3,1,33.5,0,82,0,28,100,261,1,0
