noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
1948,41,HUILA,41132,CAMPOALEGRE,4130,413027,MUNICIPIO RIVERA,MUNICIPIO ALGECIRAS,MPIO. RIVERA Y ALGECIRAS,RÍO NEIVA Y (PERMANENTE),Rural,Sin Informacion de Barrios,Alto Villa Hermosa- COLON-  El Peñón-  Guamal Buenos Aires-  Las Pavas-  Los Planes-  Palmar Alto-  Piravante Bajo-  San Miguel-  Venecia
3589,94,GUAINIA,94884,PUERTO COLOMBIA,9410,941037,RÍO GUAINÍA Y PAÍS VENEZUELA,PAÍS BRASIL,CAÑO COPEI- TOMO Y DINDE,CAÑO NAQUÉN Y RÍO GUAINÍA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
476,11,BOGOTA D.C.,11001,LOCALIDAD USME,1105,110521,CL  55 S,CL  84 S,LIMITE URBANO,AK  51,Urbano,Alaska- Arrayanes I- Arrayanes V- Barranquillita- Bolonia- Bolonia I- Bolonia I- Ciudad Londres- Ciudad Londres Rural- Danubio- Danubio II- Doña Liliana- Duitama- El Curubo- El Nevado- El Nevado II- El Pedregal- El Pedregal- Fiscala Alta- Gran Yomasa- Jua,Sin Informacion de Veredas
1423,23,CORDOBA,23417,LORICA,2310,231027,M. SAN BER. DEL VIENTO Y SAN ANTERO,RÍO SINÚ Y LIMITE URBANO,VÍA LORICA-SAN ANTERO,RÍO SINÚ,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1964,41,HUILA,41013,AGRADO,4140,414047,MUNICIPIO PAICOL,MUNICIPIO ALTAMIRA,MPIO. GIGANTE Y GARZÓN,MUNICIPIO PITAL,Rural,Sin Informacion de Barrios,Alto Buena Vista- ARRAYON-  El Astillero-  El Carmen-  EL DIAMANTE-  EL OCASO-  EL VERGEL-  GALDA-  LA CUMBRE-  MATAMBO-  Montecitos-  Sabaneta
1090,18,CAQUETA,18256,EL PAUJIL,1810,181038,RÍO AZUL Y Q/DA. LA PROFUNDA,MUNICIPIO LA MONTAÑITA,RÍO PENEYA- VÍA EL PAU.-EL DON. Y M. EL DON.,MUNICIPIO LA MONTAÑITA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3503,86,PUTUMAYO,86001,MOCOA,8600,860007,MPIO. LA CRUZ Y SANTA ROSA,MUNICIPIO VILLAGARZÓN,VÍA VILLAGARZÓN-CONDAGUA Y M. STA. R.,MPIO. SAN FCO. Y EL TABLÓN DE GÓMEZ,Rural,Sin Informacion de Barrios,El Silencio- Resguardo Indigena Aponte
2494,52,NARIÑO,52427,MAGÜI,5280,528001,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2990,68,SANTANDER,68081,BARRANCABERMEJA,6870,687039,QUEBRADA VIZCAINA,MUNICIPIO SIMACOTA,M. SAN VICENTE DE CHUCURI,RÍO OPÓN,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2568,54,NORTE DE SANTANDER,54518,PAMPLONA,5430,543058,MUNICIPIO PAMPLONITA,MPIO. CÁCOTA Y LABATECA,MUNICIPIO LABATECA,RÍO PAMPLONITA,Rural,Sin Informacion de Barrios,Alcaparral- Alto Grande-  Cabecera Municipal-  El Escorial-  El Rosal-  El Totumo-  Fontibón-  García-  La ?pa-  La Legua-  Lengua-  Monteadentro-  Santa Matilde
